"app","best","bodi","can","daili","exercis","fit","get","gym","help","home","like","muscl","person","train","trainer","use","want","weight","work","workout"
5,4,2,1,2,6,2,4,1,0,0,1,3,0,0,6,0,1,1,0,16
1,0,2,5,5,6,11,3,4,3,3,2,2,2,2,1,1,1,3,3,39
0,3,1,6,0,5,0,2,0,0,1,0,1,0,0,0,1,0,1,0,2
3,0,0,2,0,3,5,0,0,0,1,0,0,0,0,0,0,2,0,1,3
4,1,5,1,1,0,1,0,0,2,0,0,0,2,10,2,1,0,0,0,5
5,2,4,2,0,6,9,3,3,3,3,1,1,1,4,9,3,1,3,1,23
2,0,1,1,1,2,1,3,1,0,1,2,0,1,1,1,5,1,0,1,8
3,1,3,1,1,5,3,3,2,2,1,3,0,5,5,4,3,0,1,3,5
8,0,1,0,1,6,9,5,1,2,0,1,1,3,2,4,2,2,3,2,11
2,1,1,3,0,4,10,0,6,5,4,1,1,0,3,0,0,1,0,2,4
